Date,Price,Open,High,Low,Vol.,Change %
"Jul 30, 2021",64.33,64.85,64.94,63.91,-,-3.88%
"Jul 29, 2021",66.93,66.67,68.17,66.35,8.65K,0.57%
"Jul 28, 2021",66.55,66.5,66.89,65.62,13.20K,0.44%
"Jul 27, 2021",66.26,67.05,67.63,65.86,23.35K,-0.26%
"Jul 26, 2021",66.43,65.73,66.48,64.45,21.15K,1.17%
"Jul 23, 2021",65.66,65.1,65.84,64.4,22.32K,1.02%
"Jul 22, 2021",65,65.52,65.73,63.2,26.08K,-0.70%
"Jul 21, 2021",65.46,67.2,67.45,64.93,18.66K,-2.33%
"Jul 20, 2021",67.02,66.89,67.98,66.6,18.44K,0.49%
"Jul 19, 2021",66.69,68.61,69.18,66.25,20.36K,1.65%
"Jul 18, 2021",65.61,65.16,65.61,65.16,-,-3.95%
"Jul 16, 2021",68.31,67.17,68.58,66.94,20.31K,1.49%
"Jul 15, 2021",67.31,66.22,67.84,66.08,23.00K,1.02%
"Jul 14, 2021",66.63,63.52,64.36,63.04,0.00K,0.00%
"Jul 13, 2021",66.63,68,68.8,68,0.01K,2.52%
"Jul 12, 2021",64.99,65.3,67.8,64.43,0.03K,6.00%
"Jul 11, 2021",61.31,60.7,61.31,60.7,-,-1.76%
"Jul 09, 2021",62.41,64.8,65.79,61.51,0.07K,-2.86%
"Jul 08, 2021",64.25,64.46,64.73,64.06,0.02K,-0.79%
"Jul 07, 2021",64.76,64.83,65.04,64.73,0.09K,1.46%
"Jul 06, 2021",63.83,66.8,66.8,63.76,0.39K,-4.47%
"Jul 02, 2021",66.82,65.2,67.1,65.2,0.31K,2.74%
"Jul 01, 2021",65.04,64.75,67.86,64.73,0.73K,-0.18%
"Jun 30, 2021",65.16,64.5,66.5,61.98,1.01K,1.57%
"Jun 29, 2021",64.15,62.78,65.55,61.74,15.93K,2.95%
"Jun 28, 2021",62.31,59.6,62.62,59.31,20.81K,9.28%
"Jun 27, 2021",57.02,57.02,57.02,57.02,-,-4.51%
"Jun 25, 2021",59.71,62.99,63.98,59.2,36.72K,-4.77%
"Jun 24, 2021",62.7,61.86,62.85,60.31,23.52K,0.92%
"Jun 23, 2021",62.13,60.67,62.93,60.48,27.96K,2.41%
"Jun 22, 2021",60.67,60.53,62.05,59.5,34.84K,0.56%
"Jun 21, 2021",60.33,57.5,60.67,56.74,32.17K,4.85%
"Jun 20, 2021",57.54,58.49,58.49,57.54,-,-1.00%
"Jun 18, 2021",58.12,56.15,58.98,55.49,56.96K,2.74%
"Jun 17, 2021",56.57,62,62.2,56.57,68.65K,-8.86%
"Jun 16, 2021",62.07,65.77,66.09,62.07,63.01K,-5.34%
"Jun 15, 2021",65.57,66.33,67.38,65.19,48.23K,-0.59%
"Jun 14, 2021",65.96,66.4,66.97,63.5,69.00K,-0.23%
"Jun 13, 2021",66.11,66.86,66.86,66.11,-,-1.30%
"Jun 11, 2021",66.98,70.3,70.6,66.96,78.21K,-4.94%
"Jun 10, 2021",70.46,71.59,72.74,70.16,68.64K,-1.58%
"Jun 09, 2021",71.59,72.48,72.49,70.43,59.93K,-0.68%
"Jun 08, 2021",72.08,71.34,72.78,70.22,66.52K,1.76%
"Jun 07, 2021",70.83,71.97,73.74,70.5,77.65K,-2.37%
